seed,n_clusters,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734287792,2,100,0.05,0.0106342375067451,0.0040207420276121,0.3580895223805951,0.3328332083020755,0.7621905476369092,0.4856214053513378,0.3091919346654753,0.2535892231258899,0.7651309440770306,0.4557962189728924,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1706, 1806, 1906, 2006, 2106, 2206, 2306, 2406, 2506, 2606, 2706, 2806, 2906, 3006, 3106, 3206, 3306, 3406, 3506, 3606, 3706, 3806, 3906]"
1734287799,2,100,0.005,0.0107724299495926,0.0046393177241678,0.3580895223805951,0.3328332083020755,0.7674418604651163,0.5091272818204551,0.3091919346654753,0.2535892231258899,0.7702051251939854,0.4873271312932806,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1711, 1811, 1911, 2011, 2111, 2211, 2311, 2411, 2511, 2611, 2711, 2811, 2911, 3011, 3111, 3211, 3311, 3411, 3511, 3611, 3711, 3811, 3911]"
1734287807,2,250,0.05,0.0213803450862715,0.0058943307255385,0.3580895223805951,0.3328332083020755,0.6574143535883971,0.4153538384596149,0.3091919346654753,0.2535892231258899,0.6595435245793165,0.3757452897902845,"[499, 749, 1009, 1259, 1509, 1769, 2019, 2269, 2519, 2769, 3019, 3269, 3519, 3769]"
1734287815,2,250,0.005,0.0251312828207051,0.0051441431786518,0.3580895223805951,0.3328332083020755,0.7099274818704676,0.4048512128032008,0.3091919346654753,0.2535892231258899,0.711224143546598,0.3593698303491218,"[499, 749, 1157, 1407, 1657, 1907, 2157, 2407, 2657, 2907, 3180, 3430, 3680, 3930]"
1734287834,2,500,0.005,0.0457197632741518,0.0153788447111777,0.3580895223805951,0.3328332083020755,0.6324081020255063,0.4251062765691423,0.3091919346654753,0.2535892231258899,0.6280526286911555,0.3849153940656061,"[999, 1499, 1999, 2499, 2999, 3908]"
1734287850,2,1000,0.05,0.1072768192048011,0.0470117529382345,0.3580895223805951,0.3328332083020755,0.5726431607901975,0.4268567141785446,0.3091919346654753,0.2535892231258899,0.5479337407819374,0.370744039464777,"[2379, 3379]"
1734287868,2,1000,0.005,0.1072768192048011,0.0470117529382345,0.3580895223805951,0.3328332083020755,0.5726431607901975,0.4268567141785446,0.3091919346654753,0.2535892231258899,0.5479337407819374,0.370744039464777,"[2379, 3379]"
1734287887,3,100,0.05,0.0107461075795264,0.0041457732854266,0.3580895223805951,0.3328332083020755,0.7664416104026006,0.4903725931482871,0.3091919346654753,0.2535892231258899,0.7691444431230435,0.4616474023608953,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1707, 1807, 1907, 2007, 2107, 2207, 2307, 2407, 2507, 2607, 2707, 2807, 2907, 3007, 3107, 3207, 3307, 3407, 3507, 3607, 3707, 3807, 3907]"
1734287895,3,100,0.005,0.0107724299495926,0.0046393177241678,0.3580895223805951,0.3328332083020755,0.7674418604651163,0.5091272818204551,0.3091919346654753,0.2535892231258899,0.7702051251939854,0.4873271312932806,"[199, 299, 399, 499, 599, 699, 799, 899, 999, 1099, 1199, 1299, 1399, 1499, 1599, 1711, 1811, 1911, 2011, 2111, 2211, 2311, 2411, 2511, 2611, 2711, 2811, 2911, 3011, 3111, 3211, 3311, 3411, 3511, 3611, 3711, 3811, 3911]"
1734287903,3,250,0.05,0.0213803450862715,0.0058943307255385,0.3580895223805951,0.3328332083020755,0.6574143535883971,0.4153538384596149,0.3091919346654753,0.2535892231258899,0.6595435245793165,0.3757452897902845,"[499, 749, 1009, 1259, 1509, 1769, 2019, 2269, 2519, 2769, 3019, 3269, 3519, 3769]"
1734287911,3,250,0.005,0.0252741756867788,0.0055013753438359,0.3580895223805951,0.3328332083020755,0.7119279819954989,0.4098524631157789,0.3091919346654753,0.2535892231258899,0.7131640456174114,0.3677744567940192,"[499, 749, 1158, 1408, 1658, 1908, 2158, 2408, 2658, 2908, 3181, 3431, 3681, 3931]"
1734287930,3,500,0.005,0.0457197632741518,0.0153788447111777,0.3580895223805951,0.3328332083020755,0.6324081020255063,0.4251062765691423,0.3091919346654753,0.2535892231258899,0.6280526286911555,0.3849153940656061,"[999, 1499, 1999, 2499, 2999, 3908]"
1734287946,3,1000,0.05,0.1072768192048011,0.0470117529382345,0.3580895223805951,0.3328332083020755,0.5726431607901975,0.4268567141785446,0.3091919346654753,0.2535892231258899,0.5479337407819374,0.370744039464777,"[2379, 3379]"
1734287965,3,1000,0.005,0.1072768192048011,0.0470117529382345,0.3580895223805951,0.3328332083020755,0.5726431607901975,0.4268567141785446,0.3091919346654753,0.2535892231258899,0.5479337407819374,0.370744039464777,"[2379, 3379]"
