seed,disjoint_training_windows,n_samples,n_windows,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1736328894,True,50,25,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736328913,True,50,50,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736328933,True,50,100,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736328952,True,100,25,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736328972,True,100,50,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736328992,True,100,100,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736329012,True,250,25,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736329032,True,250,50,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736329052,True,250,100,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736329071,True,500,25,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736329092,True,500,50,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
1736329110,True,500,100,0.0,0.0,0.3324775353016688,0.3364114456085138,0.6046213093709885,0.5360470412853534,0.302549740639592,0.3063176653290411,0.5985321942687974,0.5234883271440866,,,,1.0,[]
