seed,const,max_depth,n_samples,threshold,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),drifts
1734281825,0.5,3,100,0.45,0.016729182295573894,0.005163790947736935,0.35808952238059516,0.3328332083020755,0.692673168292073,0.4361090272568142,0.30919193466547534,0.2535892231258899,0.695838664735627,0.39910232564066683,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399, 2599, 2799, 2999, 3199, 3399, 3599, 3799, 3999]"
1734281832,0.5,3,100,0.5,0.016729182295573894,0.005163790947736935,0.35808952238059516,0.3328332083020755,0.692673168292073,0.4361090272568142,0.30919193466547534,0.2535892231258899,0.695838664735627,0.39910232564066683,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399, 2599, 2799, 2999, 3199, 3399, 3599, 3799, 3999]"
1734281839,0.5,3,100,0.55,0.016729182295573894,0.005163790947736935,0.35808952238059516,0.3328332083020755,0.692673168292073,0.4361090272568142,0.30919193466547534,0.2535892231258899,0.695838664735627,0.39910232564066683,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399, 2599, 2799, 2999, 3199, 3399, 3599, 3799, 3999]"
1734281845,0.5,3,250,0.45,0.03475868967241811,0.00925231307826957,0.35808952238059516,0.3328332083020755,0.63615903975994,0.4068517129282321,0.30919193466547534,0.2535892231258899,0.6292905815740002,0.35865866785542116,"[499, 999, 1499, 1999, 2499, 2999, 3499, 3999]"
1734281854,0.5,3,250,0.5,0.03475868967241811,0.00925231307826957,0.35808952238059516,0.3328332083020755,0.63615903975994,0.4068517129282321,0.30919193466547534,0.2535892231258899,0.6292905815740002,0.35865866785542116,"[499, 999, 1499, 1999, 2499, 2999, 3499, 3999]"
1734281862,0.5,3,250,0.55,0.03475868967241811,0.00925231307826957,0.35808952238059516,0.3328332083020755,0.63615903975994,0.4068517129282321,0.30919193466547534,0.2535892231258899,0.6292905815740002,0.35865866785542116,"[499, 999, 1499, 1999, 2499, 2999, 3499, 3999]"
1734281870,0.5,3,500,0.45,0.06326581645411351,0.02094273568392098,0.35808952238059516,0.3328332083020755,0.6111527881970492,0.41660415103775944,0.30919193466547534,0.2535892231258899,0.6004205375922855,0.3592370719496777,"[999, 1999, 2999, 3999]"
1734281880,0.5,3,500,0.5,0.06326581645411351,0.02094273568392098,0.35808952238059516,0.3328332083020755,0.6111527881970492,0.41660415103775944,0.30919193466547534,0.2535892231258899,0.6004205375922855,0.3592370719496777,"[999, 1999, 2999, 3999]"
1734281890,0.5,3,500,0.55,0.06326581645411351,0.02094273568392098,0.35808952238059516,0.3328332083020755,0.6111527881970492,0.41660415103775944,0.30919193466547534,0.2535892231258899,0.6004205375922855,0.3592370719496777,"[999, 1999, 2999, 3999]"
1734281899,0.5,3,1000,0.45,0.10502625656414102,0.06151537884471117,0.35808952238059516,0.3328332083020755,0.5681420355088772,0.45586396599149787,0.30919193466547534,0.2535892231258899,0.5410791941288121,0.39158868063321634,"[1999, 3999]"
1734281910,0.5,3,1000,0.5,0.10502625656414102,0.06151537884471117,0.35808952238059516,0.3328332083020755,0.5681420355088772,0.45586396599149787,0.30919193466547534,0.2535892231258899,0.5410791941288121,0.39158868063321634,"[1999, 3999]"
1734281921,0.5,3,1000,0.55,0.10502625656414102,0.06151537884471117,0.35808952238059516,0.3328332083020755,0.5681420355088772,0.45586396599149787,0.30919193466547534,0.2535892231258899,0.5410791941288121,0.39158868063321634,"[1999, 3999]"
1734281932,1.0,2,100,0.45,0.016729182295573894,0.005163790947736935,0.35808952238059516,0.3328332083020755,0.692673168292073,0.4361090272568142,0.30919193466547534,0.2535892231258899,0.695838664735627,0.39910232564066683,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399, 2599, 2799, 2999, 3199, 3399, 3599, 3799, 3999]"
1734281938,1.0,2,100,0.5,0.016729182295573894,0.005163790947736935,0.35808952238059516,0.3328332083020755,0.692673168292073,0.4361090272568142,0.30919193466547534,0.2535892231258899,0.695838664735627,0.39910232564066683,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399, 2599, 2799, 2999, 3199, 3399, 3599, 3799, 3999]"
1734281945,1.0,2,100,0.55,0.016729182295573894,0.005163790947736935,0.35808952238059516,0.3328332083020755,0.692673168292073,0.4361090272568142,0.30919193466547534,0.2535892231258899,0.695838664735627,0.39910232564066683,"[199, 399, 599, 799, 999, 1199, 1399, 1599, 1799, 1999, 2199, 2399, 2599, 2799, 2999, 3199, 3399, 3599, 3799, 3999]"
1734281952,1.0,2,250,0.45,0.03475868967241811,0.00925231307826957,0.35808952238059516,0.3328332083020755,0.63615903975994,0.4068517129282321,0.30919193466547534,0.2535892231258899,0.6292905815740002,0.35865866785542116,"[499, 999, 1499, 1999, 2499, 2999, 3499, 3999]"
1734281960,1.0,2,250,0.5,0.03475868967241811,0.00925231307826957,0.35808952238059516,0.3328332083020755,0.63615903975994,0.4068517129282321,0.30919193466547534,0.2535892231258899,0.6292905815740002,0.35865866785542116,"[499, 999, 1499, 1999, 2499, 2999, 3499, 3999]"
1734281968,1.0,2,250,0.55,0.03475868967241811,0.00925231307826957,0.35808952238059516,0.3328332083020755,0.63615903975994,0.4068517129282321,0.30919193466547534,0.2535892231258899,0.6292905815740002,0.35865866785542116,"[499, 999, 1499, 1999, 2499, 2999, 3499, 3999]"
1734281976,1.0,2,500,0.45,0.06326581645411351,0.02094273568392098,0.35808952238059516,0.3328332083020755,0.6111527881970492,0.41660415103775944,0.30919193466547534,0.2535892231258899,0.6004205375922855,0.3592370719496777,"[999, 1999, 2999, 3999]"
1734281986,1.0,2,500,0.5,0.06326581645411351,0.02094273568392098,0.35808952238059516,0.3328332083020755,0.6111527881970492,0.41660415103775944,0.30919193466547534,0.2535892231258899,0.6004205375922855,0.3592370719496777,"[999, 1999, 2999, 3999]"
1734281995,1.0,2,500,0.55,0.06326581645411351,0.02094273568392098,0.35808952238059516,0.3328332083020755,0.6111527881970492,0.41660415103775944,0.30919193466547534,0.2535892231258899,0.6004205375922855,0.3592370719496777,"[999, 1999, 2999, 3999]"
1734282005,1.0,2,1000,0.45,0.10502625656414102,0.06151537884471117,0.35808952238059516,0.3328332083020755,0.5681420355088772,0.45586396599149787,0.30919193466547534,0.2535892231258899,0.5410791941288121,0.39158868063321634,"[1999, 3999]"
1734282016,1.0,2,1000,0.5,0.10502625656414102,0.06151537884471117,0.35808952238059516,0.3328332083020755,0.5681420355088772,0.45586396599149787,0.30919193466547534,0.2535892231258899,0.5410791941288121,0.39158868063321634,"[1999, 3999]"
